dataset,data_type,train_type,use_cfm,data_hrrp_type,column_group_size,cfm_type,best_accuracy,mean_accuracy,std_accuracy
eoc-1-t72-a64,sar1,hrrp_linear_128,True,hrrp_column_complex,128,hrrp_linear,92.70,91.18,0.85
eoc-2-cv,sar1,hrrp_graph,True,hrrp_column_complex,100,hrrp_graph,99.70,97.23,1.66
soc,sar1,hrrp_graph_only,-,hrrp_column_complex,100,hrrp_graph,65.11,-,-
eoc-2-cv,sar1,cfm,True,hrrp_column_complex,100,-,100.00,99.18,0.99
eoc-1-t72-a64,sar1,last_cfm_64_32_no_conv_sar128,True,hrrp_column_complex,128,hrrp_graph,93.83,90.38,1.68
soc,sar1,hrrp_resnet_only,-,hrrp_column_complex,100,resnet18,66.97,-,-
eoc-2-cv,sar1,hrrp_linear_128,True,hrrp_column_complex,128,hrrp_linear,100.00,99.84,0.15
soc,sar1,last_cfm_64_128,True,hrrp_column_complex,100,hrrp_graph,96.74,96.74,0.00
soc,sar1,hrrp_linear_only,-,hrrp_column_complex,100,hrrp_linear,36.00,-,-
soc,sar1,hrrp_linear_128,True,hrrp_column_complex,128,hrrp_linear,97.69,97.14,0.35
eoc-2-vv,sar1,last_cfm_64_32_no_conv_sar128,True,hrrp_column_complex,128,hrrp_graph,96.67,92.71,2.71
soc,sar1,hrrp_graph,True,hrrp_column_complex,100,hrrp_graph,93.81,93.81,0.00
eoc-1-t72-a64,sar1,sar,False,hrrp_column_complex,100,-,95.05,94.21,0.62
eoc-2-vv,sar1-128,sar-128,False,hrrp_column_complex,100,hrrp_graph,96.67,94.99,1.00
eoc-1-t72-a64,sar1,hrrp_graph,True,hrrp_column_complex,100,hrrp_graph,89.23,85.46,2.05
eoc-2-cv,sar1,sar,False,hrrp_column_complex,100,-,99.93,99.86,0.08
eoc-2-vv,sar1,cfm,True,hrrp_column_complex,100,-,92.13,90.87,0.84
eoc-1-t72-a64,sar1-128,sar-128,False,hrrp_column_complex,100,hrrp_graph,89.66,87.68,1.26
eoc-2-vv,sar1,sar,False,hrrp_column_complex,100,-,97.87,97.38,0.37
eoc-2-vv,sar1,hrrp_graph,True,hrrp_column_complex,100,hrrp_graph,87.36,82.95,2.59
eoc-1-t72-a64,sar1,cfm,True,hrrp_column_complex,100,-,94.27,92.56,0.90
soc,sar1,hrrp_graph,True,hrrp_column_complex,100,hrrp_graph,95.34,90.87,2.58
eoc-2-cv,sar1-128,sar-128,False,hrrp_column_complex,100,hrrp_graph,100.00,99.86,0.13
soc,sar1,last_cfm_128_128,True,hrrp_column_complex,100,hrrp_graph,96.00,96.00,0.00
eoc-2-cv,sar1,last_cfm_64_32_no_conv_sar128,True,hrrp_column_complex,128,hrrp_graph,100.00,99.07,0.75
eoc-2-vv,sar1,hrrp_linear_128,True,hrrp_column_complex,128,hrrp_linear,97.03,93.92,1.42
soc,sar1,last_cfm_64_32_no_conv,True,hrrp_column_complex,100,hrrp_graph,96.70,96.70,0.00
soc,sar1,sar,False,hrrp_column_complex,100,-,98.43,97.68,0.44
soc,sar1,last_cfm_64_32,True,hrrp_column_complex,100,hrrp_graph,96.49,96.49,0.00
soc,sar1,last_cfm_64_32_no_conv_sar128,True,hrrp_column_complex,128,hrrp_graph,98.02,96.71,1.02
soc,sar1,cfm,True,hrrp_column_complex,100,-,97.57,97.09,0.30
soc,sar1,last_cfm_32_64,True,hrrp_column_complex,100,hrrp_graph,95.63,95.63,0.00
soc,sar1-128,sar,False,hrrp_column_complex,100,hrrp_graph,94.27,93.08,0.95
soc,sar1,hrrp_resnet_only_abs,-,hrrp_column,100,resnet18,73.07,-,-
